# gapseq version: 1.4.0
# Transporter sequence DB md5sum: b99a77e (2025-02-21)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|NP_001116266.1|1.A.27.2.3	1.A.27.2.3	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|NP_001116266.1|1.A.27.2.3	25.424	0.12	26.2	97	LKKGGHDO_01060 tRNA modification GTPase MnmE	199	251	transporter
gnl|TC-DB|O06873|1.A.30.1.2	1.A.30.1.2	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|O06873|1.A.30.1.2	31.967	6.59e-47	153	95	LKKGGHDO_01210 Chemotaxis protein PomA	1	244	transporter
gnl|TC-DB|P39063|1.A.30.1.4	1.A.30.1.4	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P39063|1.A.30.1.4	34.568	8.56e-47	154	89	LKKGGHDO_01210 Chemotaxis protein PomA	1	241	transporter
gnl|TC-DB|Q8EGR6|1.A.30.1.6	1.A.30.1.6	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|Q8EGR6|1.A.30.1.6	30.738	1.04e-41	140	95	LKKGGHDO_01210 Chemotaxis protein PomA	1	244	transporter
gnl|TC-DB|P55891|1.A.30.1.7	1.A.30.1.7	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P55891|1.A.30.1.7	49.291	3.74e-101	295	96	LKKGGHDO_01953 Motility protein A	1	281	transporter
gnl|TC-DB|P0ABU7|1.A.30.2.1	1.A.30.2.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P0ABU7|1.A.30.2.1	36.493	1.09e-28	105	80	LKKGGHDO_00052 Tol-Pal system protein TolQ	6	202	transporter
gnl|TC-DB|P0ABU9|1.A.30.2.2	1.A.30.2.2	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P0ABU9|1.A.30.2.2	49.541	3.59e-76	226	95	LKKGGHDO_00052 Tol-Pal system protein TolQ	6	223	transporter
gnl|TC-DB|AJP61612.1|1.A.40.1.2	1.A.40.1.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|AJP61612.1|1.A.40.1.2	28.571	2.0	23.5	78	LKKGGHDO_03652 hypothetical protein	9	54	transporter
gnl|TC-DB|AJP61612.1|1.A.40.1.2	1.A.40.1.2	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|AJP61612.1|1.A.40.1.2	28.571	2.0	23.5	78	LKKGGHDO_03652 hypothetical protein	9	54	transporter
gnl|TC-DB|P37002|1.A.43.1.1	1.A.43.1.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P37002|1.A.43.1.1	53.097	3.63e-36	117	89	LKKGGHDO_01122 Putative fluoride ion transporter CrcB	3	115	transporter
gnl|TC-DB|P26678|1.A.50.1.1	1.A.50.1.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P26678|1.A.50.1.1	25.490	4.8	21.6	98	LKKGGHDO_02585 Inner membrane protein YiaA	40	90	transporter
gnl|TC-DB|O00631|1.A.50.2.1	1.A.50.2.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|O00631|1.A.50.2.1	30.769	3.2	20.8	84	LKKGGHDO_02097 hypothetical protein	288	313	transporter
gnl|TC-DB|O00631|1.A.50.2.1	1.A.50.2.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|O00631|1.A.50.2.1	30.769	3.2	20.8	84	LKKGGHDO_02097 hypothetical protein	288	313	transporter
gnl|TC-DB|Q19QW7|1.A.65.1.2	1.A.65.1.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q19QW7|1.A.65.1.2	24.658	5.8	22.3	83	LKKGGHDO_03751 Protease HtpX	163	235	transporter
gnl|TC-DB|Q9C4Z5|1.A.8.13.2	1.A.8.13.2	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q9C4Z5|1.A.8.13.2	28.125	1.55e-11	59.7	89	LKKGGHDO_02110 Aquaporin Z	25	235	transporter
gnl|TC-DB|D7VF10|1.A.8.13.3	1.A.8.13.3	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D7VF10|1.A.8.13.3	34.831	1.80e-16	73.2	81	LKKGGHDO_02110 Aquaporin Z	54	228	transporter
gnl|TC-DB|D7V7W8|1.A.8.2.5	1.A.8.2.5	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D7V7W8|1.A.8.2.5	23.077	1.54e-04	38.9	82	LKKGGHDO_02110 Aquaporin Z	53	230	transporter
gnl|TC-DB|D0JBC9|1.A.8.2.9	1.A.8.2.9	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D0JBC9|1.A.8.2.9	26.267	2.15e-05	41.6	85	LKKGGHDO_02110 Aquaporin Z	46	235	transporter
gnl|TC-DB|E3UN01|1.A.8.7.1	1.A.8.7.1	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|E3UN01|1.A.8.7.1	24.812	4.59e-06	44.3	77	LKKGGHDO_02110 Aquaporin Z	17	255	transporter
gnl|TC-DB|XP_014257049.1|1.A.8.8.27	1.A.8.8.27	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|XP_014257049.1|1.A.8.8.27	29.870	9.90e-15	69.3	81	LKKGGHDO_02110 Aquaporin Z	5	233	transporter
gnl|TC-DB|F6QEC2|1.A.8.9.9	1.A.8.9.9	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|F6QEC2|1.A.8.9.9	26.033	3.98e-05	41.2	78	LKKGGHDO_02110 Aquaporin Z	54	267	transporter
gnl|TC-DB|Q50E47|1.A.98.1.2	1.A.98.1.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q50E47|1.A.98.1.2	31.818	7.6	21.2	76	LKKGGHDO_02463 3-deoxy-D-manno-octulosonic acid transferase	324	359	transporter
gnl|TC-DB|P33369|1.B.17.3.10	1.B.17.3.10	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P33369|1.B.17.3.10	25.463	1.16e-19	88.6	88	LKKGGHDO_02047 Outer membrane protein OprM	65	477	transporter
gnl|TC-DB|Q51485|1.B.19.1.1	1.B.19.1.1	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q51485|1.B.19.1.1	22.902	3.60e-12	65.1	91	LKKGGHDO_00030 hypothetical protein	70	477	transporter
gnl|TC-DB|Q9NJC6|1.C.47.3.2	1.C.47.3.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q9NJC6|1.C.47.3.2	29.412	0.38	26.2	76	LKKGGHDO_00435 hypothetical protein	378	443	transporter
gnl|TC-DB|Q8TDX7|1.I.1.1.3	1.I.1.1.3	Potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q8TDX7|1.I.1.1.3	32.068	6.67e-30	114	76	LKKGGHDO_03793 Serine/threonine-protein kinase PknD	9	237	transporter
gnl|TC-DB|Q8EDB6|2.A.102.3.4	2.A.102.3.4	glycine	EX_cpd00033_e0	rxn05582,rxn08660,rxn08661,rxn09748,rxn10537,rxn12379,rxn34381,rxn34382,rxn34466,rxn34502	gnl|TC-DB|Q8EDB6|2.A.102.3.4	33.632	5.76e-27	102	81	LKKGGHDO_03485 putative membrane transporter protein YfcA	16	237	transporter
gnl|TC-DB|Q8EH96|2.A.102.4.13	2.A.102.4.13	acetate	EX_cpd00029_e0	rxn05488,rxn08061,rxn08062,rxn30452	gnl|TC-DB|Q8EH96|2.A.102.4.13	41.107	1.83e-54	174	95	LKKGGHDO_02466 hypothetical protein	9	261	transporter
gnl|TC-DB|Q8EHY3|2.A.106.1.8	2.A.106.1.8	lactate	EX_cpd00159_e0	rxn05602,rxn08794,rxn10818,rxn12365,rxn13334	gnl|TC-DB|Q8EHY3|2.A.106.1.8	30.726	1.99e-10	54.7	92	LKKGGHDO_02983 Putative manganese exporter	34	202	transporter
gnl|TC-DB|Q8EHY3|2.A.106.1.8	2.A.106.1.8	lactate	EX_cpd00221_e0	rxn08350,rxn09772,rxn10171,rxn12366	gnl|TC-DB|Q8EHY3|2.A.106.1.8	30.726	1.99e-10	54.7	92	LKKGGHDO_02983 Putative manganese exporter	34	202	transporter
gnl|TC-DB|Q8YBL6|2.A.108.2.2	2.A.108.2.2	iron	EX_cpd10515_e0	rxn08473,rxn08474,rxn12504,rxn29259,rxn08476,rxn10963,rxn13286,rxn33142,rxn34369	gnl|TC-DB|Q8YBL6|2.A.108.2.2	34.066	2.08e-25	99.0	96	LKKGGHDO_02794 Ferrous iron permease EfeU	2	269	transporter
gnl|TC-DB|Q8YBL6|2.A.108.2.2	2.A.108.2.2	iron	EX_cpd10516_e0	rxn29260	gnl|TC-DB|Q8YBL6|2.A.108.2.2	34.066	2.08e-25	99.0	96	LKKGGHDO_02794 Ferrous iron permease EfeU	2	269	transporter
gnl|TC-DB|P75901|2.A.108.2.3	2.A.108.2.3	iron	EX_cpd10515_e0	rxn08473,rxn08474,rxn12504,rxn29259,rxn08476,rxn10963,rxn13286,rxn33142,rxn34369	gnl|TC-DB|P75901|2.A.108.2.3	31.818	2.15e-20	85.5	93	LKKGGHDO_02794 Ferrous iron permease EfeU	1	255	transporter
gnl|TC-DB|P75901|2.A.108.2.3	2.A.108.2.3	iron	EX_cpd10516_e0	rxn29260	gnl|TC-DB|P75901|2.A.108.2.3	31.818	2.15e-20	85.5	93	LKKGGHDO_02794 Ferrous iron permease EfeU	1	255	transporter
gnl|TC-DB|G7HJF7|2.A.108.2.9	2.A.108.2.9	iron	EX_cpd10515_e0	rxn08473,rxn08474,rxn12504,rxn29259,rxn08476,rxn10963,rxn13286,rxn33142,rxn34369	gnl|TC-DB|G7HJF7|2.A.108.2.9	31.395	1.94e-24	96.7	89	LKKGGHDO_02794 Ferrous iron permease EfeU	6	250	transporter
gnl|TC-DB|G7HJF7|2.A.108.2.9	2.A.108.2.9	iron	EX_cpd10516_e0	rxn29260	gnl|TC-DB|G7HJF7|2.A.108.2.9	31.395	1.94e-24	96.7	89	LKKGGHDO_02794 Ferrous iron permease EfeU	6	250	transporter
gnl|TC-DB|P0AFF4|2.A.1.10.1	2.A.1.10.1	adenosine	EX_cpd00182_e0	rxn05318,rxn08068,rxn12381	gnl|TC-DB|P0AFF4|2.A.1.10.1	22.319	4.38e-05	42.4	81	LKKGGHDO_02155 putative 3-phenylpropionic acid transporter	14	329	transporter
gnl|TC-DB|P0AFF4|2.A.1.10.1	2.A.1.10.1	cytidine	EX_cpd00367_e0	rxn05198,rxn08289,rxn10857,rxn12413,rxn13338,rxn10997	gnl|TC-DB|P0AFF4|2.A.1.10.1	22.319	4.38e-05	42.4	81	LKKGGHDO_02155 putative 3-phenylpropionic acid transporter	14	329	transporter
gnl|TC-DB|P0AFF4|2.A.1.10.1	2.A.1.10.1	guanosine	EX_cpd00311_e0	rxn05204,rxn08671,rxn09747,rxn12427,rxn28613	gnl|TC-DB|P0AFF4|2.A.1.10.1	22.319	4.38e-05	42.4	81	LKKGGHDO_02155 putative 3-phenylpropionic acid transporter	14	329	transporter
gnl|TC-DB|P0AFF4|2.A.1.10.1	2.A.1.10.1	inosine	EX_cpd00246_e0	rxn05316,rxn08753,rxn12445,rxn28604	gnl|TC-DB|P0AFF4|2.A.1.10.1	22.319	4.38e-05	42.4	81	LKKGGHDO_02155 putative 3-phenylpropionic acid transporter	14	329	transporter
gnl|TC-DB|P0AFF4|2.A.1.10.1	2.A.1.10.1	thymidine	EX_cpd00184_e0	rxn05200,rxn09298,rxn10892,rxn12457	gnl|TC-DB|P0AFF4|2.A.1.10.1	22.319	4.38e-05	42.4	81	LKKGGHDO_02155 putative 3-phenylpropionic acid transporter	14	329	transporter
gnl|TC-DB|P45562|2.A.1.10.2	2.A.1.10.2	adenosine	EX_cpd00182_e0	rxn05318,rxn08068,rxn12381	gnl|TC-DB|P45562|2.A.1.10.2	22.090	2.10e-05	43.1	77	LKKGGHDO_02155 putative 3-phenylpropionic acid transporter	31	332	transporter
gnl|TC-DB|P45562|2.A.1.10.2	2.A.1.10.2	cytidine	EX_cpd00367_e0	rxn05198,rxn08289,rxn10857,rxn12413,rxn13338,rxn10997	gnl|TC-DB|P45562|2.A.1.10.2	22.090	2.10e-05	43.1	77	LKKGGHDO_02155 putative 3-phenylpropionic acid transporter	31	332	transporter
gnl|TC-DB|P45562|2.A.1.10.2	2.A.1.10.2	inosine	EX_cpd00246_e0	rxn05316,rxn08753,rxn12445,rxn28604	gnl|TC-DB|P45562|2.A.1.10.2	22.090	2.10e-05	43.1	77	LKKGGHDO_02155 putative 3-phenylpropionic acid transporter	31	332	transporter
gnl|TC-DB|P45562|2.A.1.10.2	2.A.1.10.2	thymidine	EX_cpd00184_e0	rxn05200,rxn09298,rxn10892,rxn12457	gnl|TC-DB|P45562|2.A.1.10.2	22.090	2.10e-05	43.1	77	LKKGGHDO_02155 putative 3-phenylpropionic acid transporter	31	332	transporter
gnl|TC-DB|P45562|2.A.1.10.2	2.A.1.10.2	xanthosine	EX_cpd01217_e0	rxn05680,rxn09381	gnl|TC-DB|P45562|2.A.1.10.2	22.090	2.10e-05	43.1	77	LKKGGHDO_02155 putative 3-phenylpropionic acid transporter	31	332	transporter
gnl|TC-DB|Q51330|2.A.1.11.1	2.A.1.11.1	formate	EX_cpd00047_e0	rxn05559,rxn08524,rxn10860,rxn12422,rxn34214,rxn34215,rxn34216,rxn34459,rxn27362	gnl|TC-DB|Q51330|2.A.1.11.1	24.932	6.16e-07	48.1	84	LKKGGHDO_00142 L-lactate transporter	20	368	transporter
gnl|TC-DB|Q51330|2.A.1.11.1	2.A.1.11.1	FORMATE	EX_cpd00047_e0	rxn05559,rxn08524,rxn10860,rxn12422,rxn34214,rxn34215,rxn34216,rxn34459,rxn27362	gnl|TC-DB|Q51330|2.A.1.11.1	24.932	6.16e-07	48.1	84	LKKGGHDO_00142 L-lactate transporter	20	368	transporter
gnl|TC-DB|Q51330|2.A.1.11.1	2.A.1.11.1	OXALATE	EX_cpd00180_e0	rxn12615,rxn27362	gnl|TC-DB|Q51330|2.A.1.11.1	24.932	6.16e-07	48.1	84	LKKGGHDO_00142 L-lactate transporter	20	368	transporter
gnl|TC-DB|P37662|2.A.1.11.3	2.A.1.11.3	pyruvate	EX_cpd00020_e0	rxn05469,rxn09217,rxn09717,rxn09832	gnl|TC-DB|P37662|2.A.1.11.3	23.256	0.10	31.6	83	LKKGGHDO_00142 L-lactate transporter	67	400	transporter
gnl|TC-DB|Q1KLR0|2.A.113.1.10	2.A.113.1.10	cobalt	EX_cpd00149_e0	rxn08240,rxn13681,rxn08242,rxn10474	gnl|TC-DB|Q1KLR0|2.A.113.1.10	58.009	8.24e-85	254	99	LKKGGHDO_04087 hypothetical protein	1	227	transporter
gnl|TC-DB|Q1KLR0|2.A.113.1.10	2.A.113.1.10	nickel	EX_cpd00244_e0	rxn08990,rxn08992,rxn10581,rxn13730	gnl|TC-DB|Q1KLR0|2.A.113.1.10	58.009	8.24e-85	254	99	LKKGGHDO_04087 hypothetical protein	1	227	transporter
gnl|TC-DB|D5CKG5|2.A.113.1.2	2.A.113.1.2	nickel	EX_cpd00244_e0	rxn08990,rxn08992,rxn10581,rxn13730	gnl|TC-DB|D5CKG5|2.A.113.1.2	61.394	4.32e-160	451	98	LKKGGHDO_04087 hypothetical protein	1	369	transporter
gnl|TC-DB|Q8XSC6|2.A.113.1.3	2.A.113.1.3	cobalt	EX_cpd00149_e0	rxn08240,rxn13681,rxn08242,rxn10474	gnl|TC-DB|Q8XSC6|2.A.113.1.3	76.393	0.0	572	99	LKKGGHDO_04087 hypothetical protein	1	373	transporter
gnl|TC-DB|Q8XSC6|2.A.113.1.3	2.A.113.1.3	nickel	EX_cpd00244_e0	rxn08990,rxn08992,rxn10581,rxn13730	gnl|TC-DB|Q8XSC6|2.A.113.1.3	76.393	0.0	572	99	LKKGGHDO_04087 hypothetical protein	1	373	transporter
gnl|TC-DB|P42237|2.A.1.14.1	2.A.1.14.1	biotin	EX_cpd00104_e0	rxn09693	gnl|TC-DB|P42237|2.A.1.14.1	22.222	0.51	29.6	81	LKKGGHDO_03148 putative L-galactonate transporter	50	392	transporter
gnl|TC-DB|P42237|2.A.1.14.1	2.A.1.14.1	chloride	EX_cpd00099_e0	rxn08233,rxn30474	gnl|TC-DB|P42237|2.A.1.14.1	22.222	0.51	29.6	81	LKKGGHDO_03148 putative L-galactonate transporter	50	392	transporter
gnl|TC-DB|P42237|2.A.1.14.1	2.A.1.14.1	glutamate	EX_cpd00023_e0	rxn05297,rxn05298,rxn08631,rxn08632,rxn09751,rxn09813,rxn12370,rxn13303,rxn29048,rxn29068,rxn34103,rxn34377,rxn34378,rxn34501,rxn10917,rxn11235,rxn13304,rxn29088,rxn31191	gnl|TC-DB|P42237|2.A.1.14.1	22.222	0.51	29.6	81	LKKGGHDO_03148 putative L-galactonate transporter	50	392	transporter
gnl|TC-DB|P42237|2.A.1.14.1	2.A.1.14.1	pantothenate	EX_cpd00644_e0	rxn05308,rxn09165,rxn10180	gnl|TC-DB|P42237|2.A.1.14.1	22.222	0.51	29.6	81	LKKGGHDO_03148 putative L-galactonate transporter	50	392	transporter
gnl|TC-DB|P42237|2.A.1.14.1	2.A.1.14.1	phosphate	EX_cpd00009_e0	rxn05210,rxn05312,rxn05313,rxn09120,rxn09723,rxn09811,rxn09833,rxn09872,rxn12450,rxn34261,rxn34397,rxn34522	gnl|TC-DB|P42237|2.A.1.14.1	22.222	0.51	29.6	81	LKKGGHDO_03148 putative L-galactonate transporter	50	392	transporter
gnl|TC-DB|P15078|2.A.114.1.1	2.A.114.1.1	pyruvate	EX_cpd00020_e0	rxn05469,rxn09217,rxn09717,rxn09832	gnl|TC-DB|P15078|2.A.114.1.1	68.940	0.0	975	98	LKKGGHDO_03514 Peptide transporter CstA	1	683	transporter
gnl|TC-DB|C4ZZU4|2.A.1.14.40	2.A.1.14.40	D-glucarate	EX_cpd00609_e0	rxn05572,rxn08613	gnl|TC-DB|C4ZZU4|2.A.1.14.40	18.137	0.025	33.9	90	LKKGGHDO_03148 putative L-galactonate transporter	1	378	transporter
gnl|TC-DB|P0AA76|2.A.1.14.7	2.A.1.14.7	D-galactonate	EX_cpd00653_e0	rxn08578,rxn10160	gnl|TC-DB|P0AA76|2.A.1.14.7	21.883	5.88e-09	54.7	90	LKKGGHDO_03148 putative L-galactonate transporter	5	377	transporter
gnl|TC-DB|Q88I34|2.A.1.15.16	2.A.1.15.16	benzoate	EX_cpd00153_e0	rxn12435	gnl|TC-DB|Q88I34|2.A.1.15.16	46.859	3.76e-105	314	90	LKKGGHDO_03989 Inner membrane protein YdcO	3	384	transporter
gnl|TC-DB|P31122|2.A.1.2.15	2.A.1.2.15	arabinose	EX_cpd00185_e0	rxn12574	gnl|TC-DB|P31122|2.A.1.2.15	22.647	0.005	35.4	79	LKKGGHDO_03393 putative nitrate transporter NarT	36	365	transporter
gnl|TC-DB|P31122|2.A.1.2.15	2.A.1.2.15	arabinose	EX_cpd00224_e0	rxn05500,rxn08140,rxn08141	gnl|TC-DB|P31122|2.A.1.2.15	22.647	0.005	35.4	79	LKKGGHDO_03393 putative nitrate transporter NarT	36	365	transporter
gnl|TC-DB|P37597|2.A.1.2.62	2.A.1.2.62	adenosine	EX_cpd00182_e0	rxn05318,rxn08068,rxn12381	gnl|TC-DB|P37597|2.A.1.2.62	30.548	4.52e-27	108	83	LKKGGHDO_03645 Bicyclomycin resistance protein	24	365	transporter
gnl|TC-DB|P37597|2.A.1.2.62	2.A.1.2.62	arabinose	EX_cpd00185_e0	rxn12574	gnl|TC-DB|P37597|2.A.1.2.62	30.548	4.52e-27	108	83	LKKGGHDO_03645 Bicyclomycin resistance protein	24	365	transporter
gnl|TC-DB|P37597|2.A.1.2.62	2.A.1.2.62	arabinose	EX_cpd00224_e0	rxn05500,rxn08140,rxn08141	gnl|TC-DB|P37597|2.A.1.2.62	30.548	4.52e-27	108	83	LKKGGHDO_03645 Bicyclomycin resistance protein	24	365	transporter
gnl|TC-DB|P37597|2.A.1.2.62	2.A.1.2.62	guanosine	EX_cpd00311_e0	rxn05204,rxn08671,rxn09747,rxn12427,rxn28613	gnl|TC-DB|P37597|2.A.1.2.62	30.548	4.52e-27	108	83	LKKGGHDO_03645 Bicyclomycin resistance protein	24	365	transporter
gnl|TC-DB|P37597|2.A.1.2.62	2.A.1.2.62	inosine	EX_cpd00246_e0	rxn05316,rxn08753,rxn12445,rxn28604	gnl|TC-DB|P37597|2.A.1.2.62	30.548	4.52e-27	108	83	LKKGGHDO_03645 Bicyclomycin resistance protein	24	365	transporter
gnl|TC-DB|P28246|2.A.1.2.7	2.A.1.2.7	chloride	EX_cpd00099_e0	rxn08233,rxn30474	gnl|TC-DB|P28246|2.A.1.2.7	27.066	6.42e-34	127	87	LKKGGHDO_03645 Bicyclomycin resistance protein	25	371	transporter
gnl|TC-DB|P28246|2.A.1.2.7	2.A.1.2.7	copper	EX_cpd00058_e0	rxn08275,rxn29258,rxn05212,rxn08274,rxn38516	gnl|TC-DB|P28246|2.A.1.2.7	27.066	6.42e-34	127	87	LKKGGHDO_03645 Bicyclomycin resistance protein	25	371	transporter
gnl|TC-DB|P28246|2.A.1.2.7	2.A.1.2.7	L-cysteine	EX_cpd00084_e0	rxn09690	gnl|TC-DB|P28246|2.A.1.2.7	27.066	6.42e-34	127	87	LKKGGHDO_03645 Bicyclomycin resistance protein	25	371	transporter
gnl|TC-DB|P28246|2.A.1.2.7	2.A.1.2.7	phenylacetate	EX_cpd00489_e0	rxn10559,rxn30233,rxn30234	gnl|TC-DB|P28246|2.A.1.2.7	27.066	6.42e-34	127	87	LKKGGHDO_03645 Bicyclomycin resistance protein	25	371	transporter
